unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,"linked_data_uri""08860560-9147-4237-A9D8-725FBA1CE458""",latitude,longitude,Floor Area
70960FC8-B91C-48ED-9B60-A995D5D7E33E,148000,2004-12-17,RG6 4AJ,T,N,F,,31,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/70960FC8-B91C-48ED-9B60-A995D5D7E33E/current,51.420075,-0.938633,474.0
32929838-185D-4450-A264-CA0DDA5E1936,89500,2001-03-30,RG6 4AJ,T,N,F,,31,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/32929838-185D-4450-A264-CA0DDA5E1936/current,51.420075,-0.938633,474.0
C6209F5E-DF8F-295E-E053-6C04A8C0DDCC,225000,2021-03-05,RG6 4AJ,T,N,F,,32,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/C6209F5E-DF8F-295E-E053-6C04A8C0DDCC/current,51.420075,-0.938633,474.0
49B78529-B0CB-7921-E050-A8C063056E8D,245000,2017-01-20,RG6 4AJ,T,N,F,,32,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/49B78529-B0CB-7921-E050-A8C063056E8D/current,51.420075,-0.938633,474.0
5932E45A-1E92-4078-925F-A3F90FBB1A93,175000,2014-03-28,RG6 4AJ,T,N,F,,32,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/5932E45A-1E92-4078-925F-A3F90FBB1A93/current,51.420075,-0.938633,474.0
3625AD1B-237F-49D7-B2F0-8FB003AA8E21,155000,2013-01-04,RG6 4AJ,S,N,F,,32,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/3625AD1B-237F-49D7-B2F0-8FB003AA8E21/current,51.420075,-0.938633,474.0
58A6DA53-679A-4FA6-92E5-8E5E8A6B46DA,68500,1999-04-30,RG6 4AJ,T,N,F,,32,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/58A6DA53-679A-4FA6-92E5-8E5E8A6B46DA/current,51.420075,-0.938633,474.0
FF5CFBC1-1D94-42D9-B12D-25AEC8BE031C,51000,1996-05-01,RG6 4AJ,T,N,F,,33,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/FF5CFBC1-1D94-42D9-B12D-25AEC8BE031C/current,51.420075,-0.938633,463.0
B272DE7F-23D9-47BD-8541-CF866ABE0611,200000,2015-03-27,RG6 4AJ,T,N,F,,34,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/B272DE7F-23D9-47BD-8541-CF866ABE0611/current,51.420075,-0.938633,560.0
628D3B9E-87D6-4284-98B1-8C156F84C405,170000,2008-05-30,RG6 4AJ,T,N,F,,34,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/628D3B9E-87D6-4284-98B1-8C156F84C405/current,51.420075,-0.938633,560.0
